,Validity,hydralic_efficiency(-),Hemolysis_ratio(-),gap_width(mm),volute_constructor_parameter(-),volsp,outer_disk_radius(mm),inner_disk_radius(mm)
117,1,0.281379462065568,6.811419859e-07,1.3466991074287316,0.300088866892576,0.770975999737328,25.0,5.0
118,1,0.3074824348531933,7.860734105e-07,1.1752797417608816,0.399740698278792,1.049528624382106,25.0,5.0
119,1,0.1960101325096434,1.9630416593e-06,1.1997202582391184,0.6694780483478647,1.080158875617894,25.0,5.0
120,1,0.3516271243008286,5.323339785e-07,0.7065768309132028,0.3204049846543671,1.195180791276075,25.0,5.0
121,1,0.1853026518069541,2.7573776085e-06,1.6308020113400774,0.07171875,0.5168684478854346,25.0,5.0
122,1,0.3718654403431273,5.830173478e-07,0.4322578672455036,0.324765625,1.94199784769216,25.0,5.0
123,1,0.1735732387644146,1.7624025222e-06,1.35,0.7753125000000001,1.6572178304853933,25.0,5.0
124,1,0.3095866666117066,7.0779381e-07,1.1,0.3529306117570655,0.4562499999999999,25.0,5.0
125,1,0.2625485076511176,8.019453137e-07,1.725,0.4076003125238425,1.1049742793142017,25.0,5.0
126,1,0.2013186559556089,1.2459560524e-06,1.4500000000000002,0.5284375,0.159375,25.0,5.0
127,1,0.2462220043497406,9.405459702e-07,1.5202500046470948,0.427048586251784,0.3078125,25.0,5.0
128,1,0.3618487024906289,5.80312862e-07,0.8500000000000001,0.2321875,0.3960558471418047,25.0,5.0
129,1,0.2321580116222288,2.0091146472e-06,1.5491460628541058,0.09640625,0.4248401541201436,25.0,5.0
130,1,0.2295829591756646,1.054425801e-06,1.924330901285384,0.374140625,0.8963292662369663,25.0,5.0
131,1,0.3221889708329118,7.66412073e-07,0.625,0.34328125,0.5431686874799629,25.0,5.0
132,1,0.4059134100951154,5.57372017e-07,0.5875,0.102578125,1.434987971860724,25.0,5.0
133,1,0.1755952474050174,1.9773084578e-06,0.7250000000000001,0.6033151512570015,1.3614937196950598,25.0,5.0
134,0,0.0,0.0,1.8067928749608644,0.2045848208343974,1.6140625,25.0,5.0
135,1,0.3212309270680644,8.27413979e-07,0.5980097737033087,0.3703933613734684,1.89609375,25.0,5.0
136,1,0.3260791147569259,5.373591641e-07,0.8951262515005581,0.3576245391988712,1.794437523129043,25.0,5.0
137,1,0.1876537811980389,1.2516301973e-06,1.9342779056530184,0.7601282634155855,1.7223623014548068,25.0,5.0
138,1,0.3125135926854627,6.296643089e-07,0.8442134209681508,0.3923129860069796,1.88125,25.0,5.0
139,1,0.2632776397622802,9.96345803e-07,1.725,0.2572182639930206,1.1390625,25.0,5.0
140,1,0.197415483497578,1.180943762e-06,1.8381808708943492,0.5222656250000001,0.23359375,25.0,5.0
141,1,0.2882822655459462,8.04307488e-07,0.937874311169891,0.423515625,1.89609375,25.0,5.0
142,0,0.0,0.0,1.8299014301297192,0.196094431300616,1.6069369131330071,25.0,5.0
143,0,0.0,0.0,0.5204779140833277,0.144843068699384,1.0274380866922148,25.0,5.0
144,1,0.2520665081026591,6.480951606e-07,1.839213429005744,0.423515625,1.8889472206713795,25.0,5.0
145,1,0.3900326397323929,5.985811418e-07,0.585723598336741,0.102578125,1.3692522294979033,25.0,5.0
146,1,0.1692119602772326,1.6804958074e-06,1.777571561012893,0.70125,0.3375,25.0,5.0
147,1,0.1933271052959724,1.6143843908e-06,1.348089443243907,0.61484375,0.4859375,25.0,5.0
148,1,0.2848944704507143,7.597722698e-07,1.4737842840802895,0.278320478613429,1.228125,25.0,5.0
149,1,0.4070464836105906,5.580804092e-07,0.628525159936915,0.1798826463865712,0.35234375,25.0,5.0
150,1,0.2122664136122422,1.060456162e-06,1.950104999654892,0.4790625000000001,0.492651800409425,25.0,5.0
151,1,0.3668658273270572,3.91151859e-07,0.744463446875564,0.2689208383726636,1.267181798641316,25.0,5.0
152,1,0.3208221912713688,7.38058259e-07,0.6766235640889067,0.34328125,0.5453125,25.0,5.0
153,1,0.1552668549705732,2.3294656376e-06,0.5750000000000001,0.5654687500000001,0.3671875,25.0,5.0
154,1,0.2842258831708324,7.336523456e-07,1.531905189316341,0.4043293661581978,1.05,25.0,5.0
155,1,0.2616039995864235,1.2788216493e-06,1.6,0.2081706338420255,0.575,25.0,5.0
156,1,0.2911215627071455,7.923024281e-07,0.7064326111477872,0.3940448313930266,1.0369404911732467,25.0,5.0
157,1,0.1746082003546409,1.6424753275e-06,1.35,0.7845315502447059,1.9516806809028449,25.0,5.0
158,1,0.3513853022891179,7.984131211e-07,0.806120274963258,0.176640625,0.35234375,25.0,5.0
159,1,0.2536950444940563,1.3861647194e-06,1.75,0.1828125,0.515625,25.0,5.0
160,1,0.2833911398673222,1.0591259583e-06,0.4766689802676374,0.4288075733212437,0.9900472053152384,25.0,5.0
161,1,0.340953555022418,5.564027233e-07,1.225,0.2421403955941936,1.7328125,25.0,5.0
162,1,0.4334165346571813,3.835135497e-07,0.6274746696939245,0.224776384036194,1.8827356938805373,25.0,5.0
163,1,0.3252894779329994,7.467735397e-07,0.7010504902429907,0.3225524519861038,0.3500288791332842,25.0,5.0
164,1,0.300332516351262,7.623258298e-07,1.5500000000000005,0.2815625,1.228125,25.0,5.0
165,1,0.2105970958242139,1.0873064159e-06,1.9546211721505125,0.4790625000000001,0.3777046241499519,25.0,5.0
166,1,0.3668144396882928,5.614825626e-07,0.8305281797756797,0.2321875,0.3960558471418047,25.0,5.0
167,0,0.0,0.0,0.6493291516728341,0.19515625,1.3722594580841567,25.0,5.0
168,1,0.4545571554437441,3.476352477e-07,0.525,0.1760729685519936,1.618029708287501,25.0,5.0
169,1,0.4152156698739063,3.390015969e-07,0.7000000000000001,0.2323496259388708,1.8773886317614117,25.0,5.0
170,1,0.2532620801732098,1.7610764079e-06,1.7000000000000002,0.1397409554439417,0.4077141205288372,25.0,5.0
171,1,0.3699748070907593,3.94079978e-07,0.7375,0.2865831975894129,1.6934961762462537,25.0,5.0
172,1,0.3466618503565446,5.45106719e-07,1.0045426722791124,0.2962003087972474,1.06484375,25.0,5.0
173,1,0.3414876850440874,5.329972847e-07,1.0048980772198817,0.3077058041405407,1.2875,25.0,5.0
174,1,0.3241422401547159,7.100901029e-07,0.9246647018407528,0.34328125,0.4203771042344483,25.0,5.0
175,1,0.4346909480034337,4.094070104e-07,0.5174736409372098,0.2084391378355699,0.5041493054486037,25.0,5.0
176,1,0.3074824348531933,7.860734105e-07,1.1752797417608816,0.399740698278792,1.049528624382106,25.0,5.0
177,1,0.3332015452410866,5.197908902e-07,1.225,0.2454631333415188,1.7328125,25.0,5.0
178,1,0.3691072287374562,6.081573235e-07,0.444068178042408,0.3195887602893178,1.781803606598109,25.0,5.0
179,1,0.3308175329343573,6.357083535e-07,1.1947233800335832,0.3315390582698129,1.05,25.0,5.0
