,Validity,hydralic_efficiency(-),Hemolysis_ratio(-),gap_width(mm),inner_disk_radius(mm),outer_disk_radius(mm),volute_constructor_parameter(-),volsp
218,1,0.2713222416994013,6.364607285e-07,1.9598548776895033,13.59375,48.607951958235915,0.2247722651876398,0.4384212044088763
219,1,0.3915748175048831,9.183064081e-07,0.5625,13.203125,46.99573572115039,0.0429142166302214,0.4711349640039068
220,1,0.3349119039050995,6.205669332e-07,1.1312879424345637,5.807742710364441,31.223054194332793,0.2328136485909366,0.3843037005005291
221,1,0.3466338677121903,4.057975064e-07,0.875,10.642427728989126,45.20001944887675,0.2439051014090635,0.8547588000593591
222,1,0.3111123875096004,7.312035566e-07,0.425,12.96875,42.40583671959818,0.36796875,1.7031278544416468
223,1,0.3379469214427003,5.365442857e-07,0.7875000000000001,12.36717576421586,30.177977542341804,0.3010292301001467,1.2486929459932867
224,1,0.3686117828523667,3.304203408e-07,1.175,9.60708329261826,44.008897026291834,0.1948706576573822,1.3652037561766304
225,1,0.3462181154748232,3.563993647e-07,0.9858866698494968,13.32797855009638,46.08624984957072,0.2549956265510469,1.9035151953476184
226,1,0.3670947914581377,3.243967773e-07,1.1711469962628285,13.335274488989985,39.899905538097755,0.1952802341491496,1.910908820676132
227,1,0.4029659521892482,7.731246413e-07,0.5697383239276066,10.969872262660816,28.124099802384112,0.1204703397139607,0.3375
228,1,0.3542200544450921,5.175184551e-07,0.5744589719030133,14.554655246380023,36.490347337012,0.2706048787050396,1.30342473841361
229,1,0.2932598349754688,1.4698328794e-06,1.0750000000000002,6.223120627582302,17.734375,0.3447275919634516,0.5992882356868925
230,1,0.2897986022718747,7.337478699e-07,1.7489092232816972,10.703125,39.54697782401179,0.238359375,0.4733077388380984
231,1,0.3624567946353331,3.223267124e-07,1.1885907503905693,13.28125,39.92414154918556,0.201103711583843,1.910908820676132
232,1,0.2517183608708136,8.227530411e-07,1.3759633060764271,6.221672603986971,34.52339023405629,0.4618566597657986,1.2875
233,1,0.2838219485611734,9.532021159e-07,0.92403669392405,6.9033273960130295,25.9375,0.454375,1.88125
234,1,0.3814533748260405,4.703942918e-07,0.4291624691275228,5.991857848334851,34.417447965579,0.2706707849455001,0.7298469820902366
235,1,0.2553742303281882,7.276085234e-07,1.6463893256363962,6.4821892991802885,34.9502071773622,0.4579847826750439,0.8570312499999999
236,1,0.0,0.0,0.9766268127738956,9.563674435848855,19.183118784374585,0.448203125,1.98515625
237,1,0.348392044439417,3.541139889e-07,1.1434002258577374,6.689321119504744,46.69686158928739,0.254710034208429,1.357828330959428
238,1,0.3939662927086757,9.494335999e-07,0.5625,10.532606376829241,47.44130510662156,0.040859375,0.47109375
239,1,0.3948420356580513,4.877622777e-07,0.9554877565765408,13.112111134937843,46.01599527985651,0.09640625,1.608784599114487
240,1,0.3675725308185961,8.203354102e-07,0.8661137184320505,7.816194771953299,22.032013848524514,0.1828125,1.4656928424540483
